222702	[TWW] Skewered Fillet	false	L Stat	LoStat	R-LoStat
222703	[TWW] Simple Stew	false	L Stat	LoStat	R-LoStat
222704	[TWW] Unseasoned Field Steak	false	L Stat	LoStat	R-LoStat
222705	[TWW] Roasted Mycobloom	false	L Stat	LoStat	R-LoStat
222706	[TWW] Pan Seared Mycobloom	false	L Stat	LoStat	R-LoStat
222707	[TWW] Hallowfall Chili	false	L Stat	LoStat	R-LoStat
222708	[TWW] Coreway Kabob	false	L Stat	LoStat	R-LoStat
222709	[TWW] Flashfire Fillet	false	L Stat	LoStat	R-LoStat
222710	[TWW] Meat and Potatoes	false	Str	Str	R-Str
222711	[TWW] Rib Stickers	false	Agi	Agi	R-Agi
222712	[TWW] Sweet and Sour Meatballs	false	Int	Int	R-Int
222713	[TWW] Tender Twilight Jerky	false	Stam	Stam	R-Stam
222714	[TWW] Zesty Nibblers	false	Haste	Haste	R-Haste
222715	[TWW] Fiery Fish Sticks	false	Crit	Crit	R-Crit
222716	[TWW] Ginger Glazed Fillet	false	Vers	Vers	R-Vers
222717	[TWW] Salty Dog	false	Mast	Mast	R-Mast
222718	[TWW] Deepfin Patty	false	H / C	H/C	R-H/C
222719	[TWW] Sweet and Spicy Soup	false	H / V	H/V	R-H/V
222720	[TWW] The Sushi Special	false	H Stat Feast	HiStatFeast	R-HiStatFeast
222721	[TWW] Fish and Chips	false	C / V	C/V	R-C/V
222722	[TWW] Salt Baked Seafood	false	M / C	M/C	R-M/C
222723	[TWW] Marinated Tenderloins	false	M / V	M/V	R-M/V
222724	[TWW] Sizzling Honey Roast	false	Str	Str	R-Str
222725	[TWW] Mycobloom Risotto	false	Agi	Agi	R-Agi
222726	[TWW] Stuffed Cave Peppers	false	Int	Int	R-Int
222727	[TWW] Angler's Delight	false	Stam	Stam	R-Stam
222728	[TWW] Beledar's Bounty	false	H Stat	HiStat	R-HiStat
222729	[TWW] Empress' Farewell	false	H Stat	HiStat	R-HiStat
222730	[TWW] Jester's Board	false	H Stat	HiStat	R-HiStat
222731	[TWW] Outsider's Provisions	false	H Stat	HiStat	R-HiStat
222732	[TWW] Feast of the Divine Day	false	Feast	Feast	R-Feast
222733	[TWW] Feast of the Midnight Masquerade	false	Feast	Feast	R-Feast
222735	[TWW] Everything Stew	false	L Stat	LoStat	R-LoStat
222736	[TWW] Chippy Tea	false	M / H	M/H	R-M/H
222750	[TWW] Hearty Skewered Fillet	true	L Stat	LoStat	H-LoStat
222751	[TWW] Hearty Simple Stew	true	L Stat	LoStat	H-LoStat
222752	[TWW] Hearty Unseasoned Field Steak	true	L Stat	LoStat	H-LoStat
222753	[TWW] Hearty Roasted Mycobloom	true	L Stat	LoStat	H-LoStat
222754	[TWW] Hearty Pan Seared Mycobloom	true	L Stat	LoStat	H-LoStat
222755	[TWW] Hearty Hallowfall Chili	true	L Stat	LoStat	H-LoStat
222756	[TWW] Hearty Coreway Kabob	true	L Stat	LoStat	H-LoStat
222757	[TWW] Hearty Flashfire Fillet	true	L Stat	LoStat	H-LoStat
222758	[TWW] Hearty Meat and Potatoes	true	Str	Str	H-Str
222759	[TWW] Hearty Rib Stickers	true	Agi	Agi	H-Agi
222760	[TWW] Hearty Sweet and Sour Meatballs	true	Int	Int	H-Int
222761	[TWW] Hearty Tender Twilight Jerky	true	Stam	Stam	H-Stam
222762	[TWW] Hearty Zesty Nibblers	true	Haste	Haste	H-Haste
222763	[TWW] Hearty Fiery Fish Sticks	true	Crit	Crit	H-Crit
222764	[TWW] Hearty Ginger Glazed Fillet	true	Vers	Vers	H-Vers
222765	[TWW] Hearty Salty Dog	true	Mast	Mast	H-Mast
222766	[TWW] Hearty Deepfin Patty	true	H / C	H/C	H-H/C
222767	[TWW] Hearty Sweet and Spicy Soup	true	H / V	H/V	H-H/V
222768	[TWW] Hearty Sushi Special	true	H Stat Feast	HiStatFeast	H-HiStatFeast
222769	[TWW] Hearty Fish and Chips	true	C / V	C/V	H-C/V
222770	[TWW] Hearty Salt Baked Seafood	true	M / C	M/C	H-M/C
222771	[TWW] Hearty Marinated Tenderloins	true	M / V	M/V	H-M/V
222772	[TWW] Hearty Sizzling Honey Roast	true	Str	Str	H-Str
222773	[TWW] Hearty Mycobloom Risotto	true	Agi	Agi	H-Agi
222774	[TWW] Hearty Stuffed Cave Peppers	true	Int	Int	H-Int
222775	[TWW] Hearty Angler's Delight	true	Stam	Stam	H-Stam
222776	[TWW] Hearty Beledar's Bounty	true	H Stat	HiStat	H-HiStat
222777	[TWW] Hearty Empress' Farewell	true	H Stat	HiStat	H-HiStat
222778	[TWW] Hearty Jester's Board	true	H Stat	HiStat	H-HiStat
222779	[TWW] Hearty Outsider's Provisions	true	H Stat	HiStat	H-HiStat
